Function Name,Param Names,Param Descriptions
a!flatten(),array,array: Array to be flattened.
a!update(),"data, index, value","data: A list, map, dictionary, CDT, or record containing data to be updated.index: The index or field at which to update the data.value: The new value to add or replace an existing value."
append(),"array, value",array: The array to modify.value: The value or values to append.
index(),"data, index, default","data: A homogeneous array, whose indexed value is expected. Can also be a dictionary, map, CDT, or Record.index: The index or array of indices of the data. Index can be an integer, text, or a record type field reference.default: The default value to be returned if the data or the index is invalid, e.g. if the data itself is empty or the index is not found in the data. The type of the default value must be the same as that of the elements of the data. This parameter is optional."
insert(),"array, value, index",array: The array to modify.value: The value or values to insert.index: The index or array of indices at which the value should be inserted.
joinarray(),"array, separator",array: An array of elements to be concatenated.separator: A string that will be inserted between each element of the given array.
ldrop(),"array, number",array: The array to modify.number: The number of values to drop from the array.
length(),array,array: The array in which to calculate the number of elements.
rdrop(),"array, number",array: The array to modify.number: The number of values to drop from the array.
remove(),"array, index",array: The array to modify.index: The one-based index or array of indices whose values should be removed.
reverse(),array,array: The array to modify.
updatearray(),"array, index, value",array: The array to modify.index: The one-based index or array of indices at which to update the array.value: The new value or values to add or replace existing values.
where(),"booleanArray, default",booleanArray: The array of Boolean values to test.default: The integer number or array of integer numbers to return if none of the values in the array are true.
wherecontains(),"values, array",values: The values to find.array: The array in which the values are found.
bin2dec(),value,"value: Binary value as text to convert, such as 1100100."
bin2hex(),"value, place","value: Binary value as text to convert, such as 1100100.place: The number of places to return."
bin2oct(),"value, place","value: Binary value as text to convert, such as 1100100.place: The number of places to return."
dec2bin(),"value, place","value: Decimal value to convert, such as 123.place: The number of places to return."
dec2hex(),"value, place","value: Decimal value to convert, such as 123.place: The number of places to return."
dec2oct(),"value, place","value: Decimal value to convert, such as 123.place: The number of places to return."
hex2bin(),"value, place","value: Hex value as text to convert, such as A5.place: The number of places to return."
hex2dec(),value,"value: Hex value as text to convert, such as A5."
hex2oct(),"value, place","value: Hex value as text to convert, such as A5.place: The number of places in the result."
oct2bin(),"value, place","value: Octal value as text to convert, such as 771.place: The number of places in the result."
oct2dec(),value,"value: Octal value as text to convert, such as 771."
oct2hex(),"value, place","value: Octal value as text to convert, such as 771.place: The number of places to return."
